,Brand,Model,Rank,Benchmark,Samples,Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
76,Gigabyte,Gigabyte RTX 2080 Super 8GB Aorus Windforce,18,138.0,243635,Nvidia,GTX 870M,165.0,23.6,3072.0,3.0,192.0,941.0,1250.0,112.0,24.0,No,MXM-B (3.0),GDDR5,GK104
77,EVGA,EVGA RTX 2080 Super 8GB KO Dual,18,138.0,243635,AMD,FirePro W7000,166.0,22.9,72.0,4.0,256.0,950.0,1200.0,80.0,32.0,No,PCIe 3.0 x16,GDDR5,Pitcairn
78,Nvidia,Quadro RTX 5000,19,136.0,1703,AMD,RX 560,168.0,22.6,54540.0,4.0,128.0,1175.0,1750.0,64.0,16.0,No,PCIe 3.0 x8,GDDR5,Polaris 21
79,Nvidia,GTX 1080 Ti,20,136.0,782243,Nvidia,Quadro K5100M,170.0,22.3,625.0,8.0,256.0,771.0,900.0,128.0,32.0,No,MXM-B (3.0),GDDR5,GK104
80,EVGA,EVGA GTX 1080 Ti 11GB Founders Edition,20,136.0,782243,Nvidia,Quadro K5000,171.0,22.1,3576.0,4.0,256.0,706.0,1350.0,128.0,32.0,No,PCIe 2.0 x16,GDDR5,GK104
81,Nvidia,Gigabyte GTX 1080 Ti 11GB Founders Edition,20,136.0,782243,Nvidia,Quadro K4200,172.0,21.9,7021.0,4.0,256.0,771.0,1350.0,112.0,32.0,No,PCIe 2.0 x16,GDDR5,GK104
82,Nvidia,MSI GTX 1080 Ti 11GB Founders Edition,20,136.0,782243,Nvidia,Quadro M2000,174.0,21.6,5564.0,4.0,128.0,796.0,1653.0,48.0,32.0,No,PCIe 3.0 x16,GDDR5,GM206
83,Nvidia,Zotac GTX 1080 Ti 11GB Founders Edition,20,136.0,782243,Nvidia,GTX 580,175.0,21.5,15137.0,1.536,384.0,772.0,1002.0,64.0,48.0,No,PCIe 2.0 x16,GDDR5,GF110
84,Asus,Asus GTX 1080 Ti 11GB Founders Edition,20,136.0,782243,Nvidia,GTX 660,176.0,21.1,123681.0,2.0,192.0,980.0,1502.0,80.0,24.0,No,PCIe 3.0 x16,GDDR5,GK106
85,Asus,Asus GTX 1080 Ti 11GB Gaming OC,20,136.0,782243,AMD,Radeon HD 7970M,181.0,20.6,945.0,2.0,256.0,850.0,1200.0,80.0,32.0,No,MXM-B (3.0),GDDR5,Wimbledon
86,MSI,MSI GTX 1080 TI 11GB Gaming X,20,136.0,782243,AMD,RX 460,184.0,20.1,63867.0,2.0,128.0,1090.0,1750.0,56.0,16.0,No,PCIe 3.0 x8,GDDR5,Baffin
87,Gigabyte,Gigabyte GTX 1080 Ti 11GB AORUS,20,136.0,782243,Nvidia,GTX 680M,190.0,19.4,1304.0,4.0,256.0,719.0,900.0,112.0,32.0,No,MXM-B (3.0),GDDR5,GK104
88,EVGA,EVGA GTX 1080 Ti 11GB FTW3 Gaming,20,136.0,782243,Nvidia,MX350,192.0,19.2,2441.0,2.0,64.0,1354.0,1752.0,32.0,16.0,No,PCIe 3.0 x4,GDDR5,GP107
89,Asus,Asus GTX 1080 Ti 11GB ROG Strix OC,20,136.0,782243,Nvidia,MX350,192.0,19.2,2441.0,2.0,64.0,747.0,1752.0,32.0,16.0,No,PCIe 3.0 x4,GDDR5,GP107
90,EVGA,EVGA GTX 1080 Ti 11GB SC Black,20,136.0,782243,Nvidia,GTX 570,194.0,19.1,21326.0,1.28,320.0,732.0,950.0,60.0,40.0,No,PCIe 2.0 x16,GDDR5,GF110
91,Asus,Asus GTX 1080 Ti 11GB ROG Strix,20,136.0,782243,Nvidia,GTX 480,196.0,18.7,3923.0,1.536,384.0,701.0,924.0,60.0,48.0,No,PCIe 2.0 x16,GDDR5,GF100
92,EVGA,EVGA GTX 1080 Ti 11GB SC2 Gaming,20,136.0,782243,Nvidia,GTX 750 Ti,198.0,18.2,293396.0,2.0,128.0,1020.0,1350.0,40.0,16.0,No,PCIe 3.0 x16,GDDR5,GM107
93,Gigabyte,Gigabyte GTX 1080 Ti 11GB AORUS Xtreme,20,136.0,782243,Nvidia,GTX 650 Ti Boost,199.0,18.1,15557.0,2.0,192.0,980.0,1502.0,64.0,24.0,No,PCIe 3.0 x16,GDDR5,GK106
94,Nvidia,Quadro P6000,21,133.0,765,Nvidia,GTX 960M,201.0,17.7,68656.0,4.0,128.0,1097.0,1253.0,40.0,16.0,No,MXM-B (3.0),GDDR5,GM107
95,Nvidia,Titan X Pascal,22,133.0,8409,Nvidia,Quadro K2200,204.0,17.3,15507.0,4.0,128.0,1046.0,1253.0,40.0,16.0,No,PCIe 2.0 x16,GDDR5,GM107
96,Nvidia,NVidia Titan X Pascal 12GB,22,133.0,8409,Nvidia,GTX 770M,205.0,17.2,6278.0,3.0,192.0,706.0,1002.0,80.0,24.0,No,MXM-B (3.0),GDDR5,GK106
97,Nvidia,RTX 3060 Ti,23,133.0,238653,Nvidia,GTX 560 Ti,206.0,17.1,41708.0,1.024,256.0,823.0,1002.0,64.0,32.0,No,PCIe 2.0 x16,GDDR5,GF114
98,Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC,23,133.0,238653,Nvidia,Quadro K5000M,211.0,16.4,345.0,4.0,256.0,601.0,750.0,112.0,32.0,No,MXM-B (3.0),GDDR5,GK104
99,MSI,MSI RTX 3060 Ti 8GB Ventus 3X OC,23,133.0,238653,Nvidia,GTX 860M,213.0,16.3,19551.0,4.0,128.0,1020.0,1253.0,40.0,16.0,No,MXM-B (3.0),GDDR5,GM107
100,MSI,MSI RTX 3060 Ti 8GB Ventus 2X,23,133.0,238653,Nvidia,GTX 860M,213.0,16.3,19551.0,2.0,128.0,797.0,1250.0,96.0,16.0,No,PCIe 3.0 x16,GDDR5,GK104
101,Gigabyte,Gigabyte RTX 3060 Ti 8GB Eagle OC,23,133.0,238653,Nvidia,GTX 675MX,215.0,16.0,567.0,2.0,256.0,654.0,900.0,80.0,32.0,No,MXM-B (3.0),GDDR5,GK104
102,Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC Pro,23,133.0,238653,Nvidia,GTX 650 Ti,216.0,15.5,26520.0,1.024,128.0,928.0,1350.0,64.0,16.0,No,PCIe 3.0 x16,GDDR5,GK106
103,MSI,MSI RTX 3060 Ti 8GB Gaming X Trio,23,133.0,238653,Nvidia,GTX 470,217.0,15.5,5279.0,1.28,320.0,608.0,837.0,56.0,40.0,No,PCIe 2.0 x16,GDDR5,GF100
104,Zotac,Zotac RTX 3060 Ti 8GB Twin Edge OC,23,133.0,238653,Nvidia,GTX 850M,219.0,15.2,13563.0,2.0,128.0,902.0,1001.0,40.0,16.0,No,PCIe 3.0 x16,DDR3,GM107
105,Nvidia,RTX 2080,24,129.0,311089,Nvidia,GTX 750,220.0,15.2,73531.0,1.024,128.0,1020.0,1253.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GM107
106,MSI,MSI RTX 2080 8GB Gaming X Trio,24,129.0,311089,Nvidia,GTX 950M,222.0,14.9,38138.0,4.0,128.0,993.0,900.0,40.0,16.0,No,PCIe 3.0 x8,DDR3,GM107
107,Gigabyte,Gigabyte RTX 2080 8GB Windforce OC,24,129.0,311089,Nvidia,MX250,224.0,14.5,9648.0,2.0,64.0,1519.0,1502.0,24.0,16.0,No,PCIe 3.0 x4,GDDR5,GP108
108,Asus,Asus RTX 2080 8GB Dual OC,24,129.0,311089,Nvidia,MX250,224.0,14.5,9648.0,2.0,64.0,937.0,1502.0,24.0,16.0,No,PCIe 3.0 x4,GDDR5,GP108B
109,Gigabyte,Gigabyte RTX 2080 8GB Gaming OC,24,129.0,311089,Nvidia,GT 1030,225.0,14.4,171815.0,2.0,64.0,1228.0,1502.0,24.0,16.0,No,PCIe 3.0 x4,GDDR5,GP108
110,EVGA,EVGA RTX 2080 8GB XC Ultra Gaming,24,129.0,311089,Nvidia,GTX 460 v2,226.0,14.3,669.0,1.024,192.0,779.0,1002.0,56.0,24.0,No,PCIe 2.0 x16,GDDR5,GF114
111,Asus,Asus RTX 2080 8GB ROG STRIX,24,129.0,311089,Nvidia,GTX 560,228.0,14.2,28403.0,1.024,256.0,810.0,1000.0,56.0,32.0,No,PCIe 2.0 x16,GDDR5,GF114
112,EVGA,EVGA RTX 2080 8GB XC Gaming,24,129.0,311089,Nvidia,GTX 765M,229.0,14.1,6997.0,2.0,128.0,797.0,1002.0,64.0,16.0,No,MXM-B (3.0),GDDR5,GK106
113,Nvidia,RTX 3080 (Laptop),25,128.0,12700,Nvidia,Quadro 6000,230.0,13.6,1446.0,6.0,384.0,574.0,747.0,56.0,48.0,No,PCIe 2.0 x16,GDDR5,GF100
114,AMD,RX 6800,26,125.0,3524,Nvidia,Quadro K1200,231.0,13.4,3830.0,4.0,128.0,1058.0,1250.0,32.0,16.0,No,PCIe 2.0 x16,GDDR5,GM107
115,Asus,Asus RX 6800 16GB TUF OC,26,125.0,3524,Nvidia,GTX 580M,232.0,13.3,406.0,2.0,256.0,620.0,750.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GF114
116,AMD,RX 6750-XT,27,125.0,660,AMD,RX 550,233.0,13.3,82224.0,2.0,128.0,1100.0,1750.0,32.0,16.0,No,PCIe 3.0 x8,GDDR5,Lexa
117,Nvidia,RTX 3070 Ti (Laptop),28,123.0,2131,Nvidia,GTX 675M,234.0,13.3,989.0,2.0,256.0,620.0,750.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GF114
118,Nvidia,RTX 2070S (Super),29,118.0,569107,Nvidia,Quadro K4000,235.0,13.1,10288.0,3.0,192.0,810.0,1404.0,64.0,24.0,No,PCIe 2.0 x16,GDDR5,GK106
119,EVGA,EVGA RTX 2070 Super 8GB SC XC Ultra Gaming,29,118.0,569107,Nvidia,GTX 460,240.0,12.5,30678.0,1.024,256.0,675.0,900.0,56.0,32.0,No,PCIe 2.0 x16,GDDR5,GF104
