Brand,Model,Rank,Benchmark,Samples
Nvidia,RTX 3050,73,72.9,22587
Asus,Asus RTX 3050 8GB ROG Strix OC,73,72.9,22587
Asus,Asus RTX 3050 8GB Phoenix,73,72.9,22587
Asus,Asus RTX 3050 8GB Dual OC,73,72.9,22587
Gigabyte,Gigabyte RTX 3050 8GB Gaming OC,73,72.9,22587
MSI,MSI RTX 3050 8GB Ventus 2X OC,73,72.9,22587
EVGA,EVGA RTX 3050 8GB XC Gaming,73,72.9,22587
Zotac,Zotac RTX 3050 8GB Twin Edge OC,73,72.9,22587
MSI,MSI RTX 3050 8GB Gaming X,73,72.9,22587
Gigabyte,Gigabyte RTX 3050 8GB Eagle OC,73,72.9,22587
AMD,RX 6700S (Laptop),74,71.6,249
Nvidia,GTX 1070 (Mobile),75,71.1,99495
AMD,RX 6600M,76,70.9,341
Nvidia,GTX 1660S (Super),77,70.5,404070
MSI,MSI GTX 1660 Super 6GB Ventus XS OC,77,70.5,404070
Gigabyte,Gigabyte GTX 1660 Super 6GB OC,77,70.5,404070
EVGA,EVGA GTX 1660 Super 6GB SC Ultra Gaming,77,70.5,404070
Zotac,Zotac GTX 1660 Super 6GB Compact,77,70.5,404070
MSI,MSI GTX 1660 Super 6GB Gaming X,77,70.5,404070
Asus,Asus GTX 1660 Super 6GB Dual Evo,77,70.5,404070
Asus,Asus GTX 1660 Super 6GB TUF Gaming,77,70.5,404070
Nvidia,RTX 2060 (Mobile),78,69.2,110959
Nvidia,GTX 1660,79,68.7,220505
Gigabyte,Gigabyte GTX 1660 6GB OC,79,68.7,220505
EVGA,EVGA GTX 1660 6GB XC Ultra Gaming,79,68.7,220505
MSI,MSI GTX 1660 6GB Ventus XS OC,79,68.7,220505
MSI,MSI GTX 1660 6GB Gaming X,79,68.7,220505
EVGA,EVGA GTX 1660 6GB XC Black,79,68.7,220505
Asus,Asus GTX 1660 6GB Phoenix,79,68.7,220505
Gigabyte,Gigabyte GTX 1660 6GB Gaming OC,79,68.7,220505
Zotac,Zotac GTX 1660 6GB Compact,79,68.7,220505
Zotac,Zotac GTX 1660 6GB Gaming Compact,79,68.7,220505
EVGA,EVGA GTX 1660 6GB  SC Ultra Dual,79,68.7,220505
Nvidia,Quadro P4000,80,67,11776
AMD,R9 Fury-X,81,65.1,8776
AMD,XFX R9 FURY X 4GB,81,65.1,8776
AMD,Sapphire R9 Fury X 4GB ,81,65.1,8776
AMD,Gigabyte R9 Fury X 4GB,81,65.1,8776
Nvidia,Quadro P5000-M (Mobile),82,65,646
Nvidia,GTX 1660 Ti (Mobile),83,64.5,77861
AMD,R9 Fury,84,62.9,16988
Sapphire,Sapphire R9 Fury 4GB TRI-X OC,84,62.9,16988
Sapphire,Sapphire R9 Fury 4GB TRI-X OC,84,62.9,16988
Asus,Asus R9 Fury 4GB Gaming,84,62.9,16988
XFX,XFX R9 Fury 4GB,84,62.9,16988
Sapphire,Sapphire R9 Fury 4GB NITRO,84,62.9,16988
Nvidia,GTX 980,85,60.6,170996
EVGA,EVGA GTX 980 4GB SC ACX 2.0,85,60.6,170996
MSI,MSI GTX 980 4GB GAMING,85,60.6,170996
Asus,ASUS GTX 980 4GB STRIX OC,85,60.6,170996
Nvidia,GTX 1070 (Mobile Max-Q),86,60.2,8182
AMD,RX 590,87,60,119752
XFX,XFX RX 590 8GB Fatboy OC+,87,60,119752
Sapphire,Sapphire RX 590 8GB Nitro+,87,60,119752
PowerColor,PowerColor RX 590 8GB Red Dragon,87,60,119752
PowerColor,PowerColor RX 590 8GB Red Devil,87,60,119752
MSI,MSI RX 590 8GB Armor OC,87,60,119752
Gigabyte,Gigabyte RX 590 8GB Gaming,87,60,119752
Sapphire,Sapphire RX 590 8GB Pulse,87,60,119752
Nvidia,GTX 1650S (Super),88,59.7,162472
Zotac,Zotac GTX 1650 Super 4GB Gaming,88,59.7,162472
Asus,Asus GTX 1650 Super 4GB TUF Gaming,88,59.7,162472
EVGA,EVGA GTX 1650 Super 4GB SC Ultra,88,59.7,162472
MSI,MSI GTX 1650 Super 4GB Ventus XS,88,59.7,162472
Gigabyte,Gigabyte GTX 1650 Super 4GB 2x Windforce,88,59.7,162472
MSI,MSI GTX 1650 Super 4GB Gaming X,88,59.7,162472
