Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Nvidia,GTX 760M,250,11.6,1741,2,128,628,1002,64,16,No,PCIe 3.0 x16,GDDR5,GK106
Nvidia,GTX 485M,251,11.4,60,2,256,575,750,64,32,No,MXM-B (3.0),GDDR5,GF104
Nvidia,GTX 560 SE,252,11.4,1766,1.024,192,736,957,48,24,No,PCIe 2.0 x16,GDDR5,GF114
Nvidia,Quadro K620,256,10.8,17040,2,128,1058,900,24,16,No,PCIe 2.0 x16,DDR3,GM107
Nvidia,MX230,260,10.5,6515,2,64,1519,1502,16,16,No,PCIe 3.0 x4,GDDR5,GP108
Nvidia,GTX 670M,262,10.4,2952,1.536,192,598,750,56,24,No,MXM-B (3.0),GDDR5,GF114
AMD,Radeon HD 6770,264,10.3,16498,1.024,128,850,1200,40,16,No,PCIe 2.0 x16,GDDR5,Juniper
Nvidia,GTX 460 SE,265,10.3,3139,1.024,256,650,850,48,32,No,PCIe 2.0 x16,GDDR5,GF104
AMD,FirePro M6000,270,10.1,235,2,128,800,1000,40,16,No,MXM-B (3.0),GDDR5,Heathrow
Nvidia,MX130,273,9.94,14793,2,64,1109,1253,24,8,No,PCIe 3.0 x4,GDDR5,GM108
Nvidia,940MX,276,9.76,38717,2,64,1004,1001,24,8,No,PCIe 3.0 x8,DDR3,GM108
Nvidia,940MX,276,9.76,38717,2,64,795,1253,32,8,No,PCIe 3.0 x8,GDDR5,GM107
Nvidia,940MX,276,9.76,38717,1.024,64,954,1253,24,8,No,PCIe 3.0 x8,GDDR5,GM108
Nvidia,GTX 285,277,9.76,2859,1.024,512,648,1242,80,32,No,PCIe 2.0 x16,GDDR3,GT200B
Nvidia,Quadro 5000,278,9.75,2778,2.5,320,513,750,44,40,No,PCIe 2.0 x16,GDDR5,GF100
Nvidia,GT 755M,279,9.65,3574,2,128,980,1350,32,16,No,PCIe 3.0 x16,GDDR5,GK107
Nvidia,GTX 570M,280,9.64,635,1.536,192,575,750,56,24,No,MXM-B (3.0),GDDR5,GF114
Nvidia,840M,282,9.54,20101,2,64,1029,1001,16,8,No,PCIe 3.0 x8,DDR3,GM108
AMD,FirePro M8900,284,9.46,199,2,256,680,900,48,32,No,MXM-B (3.0),GDDR5,Blackcomb
Nvidia,GTX 275,285,9.45,3119,0.896,448,633,1134,80,28,No,PCIe 2.0 x16,GDDR3,GT200B
Nvidia,GTX 550 Ti,286,9.07,55322,1.024,192,900,1026,32,24,No,PCIe 2.0 x16,GDDR5,GF116
Nvidia,GTX 280,289,8.77,1426,1.024,512,602,1107,80,32,No,PCIe 2.0 x16,GDDR3,GT200
Nvidia,GTX 650,290,8.68,71560,1.024,128,1058,1250,32,16,No,PCIe 3.0 x16,GDDR5,GK106
Nvidia,GTX 650,290,8.68,71560,1.024,128,1058,1250,32,16,No,PCIe 3.0 x16,GDDR5,GK107
Nvidia,930MX,293,8.58,6951,2,64,952,900,24,8,No,PCIe 3.0 x8,DDR3,GM108
AMD,Mobility Radeon HD 5870,295,8.49,2962,1.024,128,700,1000,40,16,No,MXM-B (3.0),GDDR5,Broadway
Nvidia,Quadro FX 5800,296,8.43,789,4,512,610,800,80,32,No,PCIe 2.0 x16,GDDR3,GT200B
Nvidia,GT 750M,297,8.37,13906,2,128,941,1003,32,16,No,PCIe 3.0 x16,GDDR5,GK107
Nvidia,GTX 480M,298,8.3,34,2,256,425,600,44,32,No,MXM-B (3.0),GDDR5,GF100
Nvidia,Quadro 4000M,300,8.23,1126,2,256,475,625,56,32,No,MXM-B (3.0),GDDR5,GF104
Nvidia,GT 740,304,7.92,30040,1.024,128,993,1253,32,16,No,PCIe 3.0 x16,GDDR5,GK107
ATI,Radeon HD 4850,305,7.91,1024,0.512,256,625,993,40,16,No,PCIe 2.0 x16,GDDR3,RV770
Nvidia,Quadro K3000M,308,7.84,2291,2,256,654,700,48,32,No,MXM-B (3.0),GDDR5,GK104
Nvidia,9800 GTX,311,7.66,3950,0.512,256,675,1100,64,16,No,PCIe 2.0 x16,GDDR3,G92
Nvidia,GTS 450,312,7.65,29414,1.024,128,783,902,32,16,No,PCIe 2.0 x16,GDDR5,GF106
Nvidia,Quadro K2000,313,7.6,12465,2,128,954,1000,32,16,No,PCIe 2.0 x16,GDDR5,GK107
Nvidia,GTX 660M,314,7.6,7312,1.024,128,835,1000,32,16,No,MXM-B (3.0),GDDR5,GK107
